Case Name                                                                                                                                                                                                   ,Patentee                                                                  ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,                                                                                                                                    
"MAXIM INTEGRATED PRODUCTS, INC. v. SOUTHWEST AIRLINES, CO.                                                                                                                                                ","MAXIM INTEGRATED PRODUCTS, INC.                                         ",6/27/12    ,2:12-cv-00883,W.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"CHIPOTLE MEXICAN GRILL, INC. v. MAXIM INTEGRATED PRODUCTS, INC.                                                                                                                                           ","MAXIM INTEGRATED PRODUCTS, INC.                                         ",6/27/12    ,2:12-cv-00887,W.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"MAXIM INTEGRATED PRODUCTS, INC. v. QVC, INC.                                                                                                                                                              ","MAXIM INTEGRATED PRODUCTS, INC.                                         ",6/28/12    ,2:12-cv-00891,W.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Sun Products v. Procter & Gamble Company, The                                                                                                                                                             ",Sun Products                                                              ,9/18/12    ,2:12-cv-00892,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Exacto Inc v. Platte Chemical Co                                                                                                                                                                            ,Platte Chemical Co                                                        ,9/4/12     ,2:12-cv-00900,E.D. Wis.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Hanchett Entry Systems Incorporated v. Rutherford Controls International Corporation et al                                                                                                                  ,Hanchett Entry Systems Incorporated                                       ,5/1/12     ,2:12-cv-00919,D. Ariz.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"CLAIRMAIL INC. v. MAXIM INTEGRATED PRODUCTS, INC.,                                                                                                                                                        ","MAXIM INTEGRATED PRODUCTS, INC.,                                        ",7/5/12     ,2:12-cv-00923,W.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Dyson Technology Limited et al v. Cornucopia Products LLC                                                                                                                                                   ,Dyson Technology Limited                                                  ,5/2/12     ,2:12-cv-00924,D. Ariz.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Industrial Technology Research Institute v. LG Corporation et al                                                                                                                                            ,Industrial Technology Research Institute                                  ,2/16/12    ,2:12-cv-00929,D.N.J.     ,1. University/College                       ,                     ,                          ,4                   ,                                                                                                                                    
"Pollin Patent Licensing, LLC et al v. BMW Financial Services N.A., LLC et al                                                                                                                              ","Pollin Patent Licensing, LLC                                            ",10/11/12   ,2:12-cv-00936,S.D. Ohio  ,5. Patent holding company                   ,                     ,                          ,2                   ,                                                                                                                                    
Etagz v. Do It                                                                                                                                                                                              ,Etagz                                                                     ,10/9/12    ,2:12-cv-00944,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Industrial Technology Research Institute v. LG Corporation et al                                                                                                                                            ,Industrial Technology Research Institute                                  ,2/16/12    ,2:12-cv-00948,D.N.J.     ,1. University/College                       ,                     ,                          ,3                   ,                                                                                                                                    
Industrial Technology Research Institute v. LG Corporation et al                                                                                                                                            ,Industrial Technology Research Institute                                  ,2/16/12    ,2:12-cv-00949,D.N.J.     ,1. University/College                       ,                     ,                          ,3                   ,                                                                                                                                    
"Voxpath RS, LLC v. LG Electronics U.S.A., Inc. et al                                                                                                                                                      ","Voxpath RS, LLC                                                         ",2/16/12    ,2:12-cv-00952,D.N.J.     ,5. Patent holding company                   ,                     ,                          ,36                  ,                                                                                                                                    
Mesa Verde Strategies LLC v. MB Trading Futures Inc                                                                                                                                                         ,Mesa Verde Strategies LLC                                                 ,2/3/12     ,2:12-cv-00974,C.D. Cal.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"BANOM, INC. v. LIBERTY GLOVE, INC.                                                                                                                                                                        ","BANOM, INC.                                                             ",2/24/12    ,2:12-cv-00976,E.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Authentify Patent Co LLC v. PhoneFactor, Inc. et al                                                                                                                                                       ",Authentify Patent Co LLC                                                  ,6/6/12     ,2:12-cv-00976,W.D. Wash. ,7. IP Holding company of operating company  ,                     ,                          ,9                   ,                                                                                                                                    
Wolf Run Hollow LLC v. Online Resources                                                                                                                                                                     ,Wolf Run Hollow LLC                                                       ,2/3/12     ,2:12-cv-00977,C.D. Cal.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
ArrivalStar S.A. et al v. Central Puget Sound Regional Transit Authority                                                                                                                                    ,ArrivalStar S.A.                                                          ,6/7/12     ,2:12-cv-00977,W.D. Wash. ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"PROGRAM REWARDS SOLUTIONS LLC v. MILEWISE, INC.                                                                                                                                                           ",PROGRAM REWARDS SOLUTIONS LLC                                             ,2/17/12    ,2:12-cv-00982,D.N.J.     ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Advanced Steel Recovery, LLC v. X-Body Equipment, Inc. et al                                                                                                                                              ","Advanced Steel Recovery, LLC                                            ",4/16/12    ,2:12-cv-01004,E.D. Cal.  ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
Edizone v. Hudson Industries                                                                                                                                                                                ,Edizone                                                                   ,11/5/12    ,2:12-cv-01031,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Edison Welding Institute, Inc. et al v. Lincoln Global Inc                                                                                                                                                ",Lincoln Global Inc                                                        ,11/9/12    ,2:12-cv-01040,S.D. Ohio  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
CAO Group v. Sybron Dental Specialities et al                                                                                                                                                               ,CAO Group                                                                 ,11/15/12   ,2:12-cv-01062,D. Utah    ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
Etagz v. Foiles Migrators                                                                                                                                                                                   ,Etagz                                                                     ,11/19/12   ,2:12-cv-01067,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Orbis Corporation v. Rehrig Pacific Company                                                                                                                                                                 ,Orbis Corporation                                                         ,10/22/12   ,2:12-cv-01073,E.D. Wis.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Ray Bros., Inc et al v. Architectural Building Components et al                                                                                                                                           ","Ray Bros., Inc                                                          ",4/27/12    ,2:12-cv-01079,E.D. La.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Pro Performance Sports, LLC et al v. Rio Brands, LLC                                                                                                                                                      ","Pro Performance Sports, LLC                                             ",6/25/12    ,2:12-cv-01084,D. Nev.    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Etagz v. Active People                                                                                                                                                                                      ,Etagz                                                                     ,11/28/12   ,2:12-cv-01090,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Etagz v. Playmates Toys Inc et al                                                                                                                                                                           ,Etagz                                                                     ,11/29/12   ,2:12-cv-01091,D. Utah    ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
BreathableBaby LLC v. Crown Crafts Inc et al                                                                                                                                                                ,BreathableBaby LLC                                                        ,2/8/12     ,2:12-cv-01092,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
ArrivalStar SA et al v. Valley Metro Rail Incorporated                                                                                                                                                      ,ArrivalStar SA                                                            ,5/23/12    ,2:12-cv-01093,D. Ariz.   ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
Fresh Concepts et al v. 3Form et al                                                                                                                                                                         ,3Form                                                                     ,11/30/12   ,2:12-cv-01093,D. Utah    ,6. Operating company                        ,                     ,                          ,9                   ,                                                                                                                                    
Automated Facilities Management Corporation v. Revere Inc of Alabama                                                                                                                                        ,Automated Facilities Management Corporation                               ,4/12/12    ,2:12-cv-01096,N.D. Ala.  ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
North v. Polaris Industries                                                                                                                                                                                 ,North                                                                     ,12/3/12    ,2:12-cv-01101,D. Utah    ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,                                                                                                                                    
Etagz v. Dynaflex International et al                                                                                                                                                                       ,Etagz                                                                     ,12/4/12    ,2:12-cv-01106,D. Utah    ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Diamantis v. Safdie International, Inc. et al                                                                                                                                                             ",Diamantis                                                                 ,4/13/12    ,2:12-cv-01108,N.D. Ala.  ,2. Individual/family trust                  ,1                    ,0                         ,2                   ,                                                                                                                                    
Edizone v. Dover Saddlery                                                                                                                                                                                   ,Edizone                                                                   ,12/5/12    ,2:12-cv-01108,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Edizone v. Schneider Saddlery                                                                                                                                                                               ,Edizone                                                                   ,12/5/12    ,2:12-cv-01109,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
CAO Group v. 3M                                                                                                                                                                                             ,CAO Group                                                                 ,12/10/12   ,2:12-cv-01123,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Etagz v. Eolo Sport                                                                                                                                                                                         ,Etagz                                                                     ,12/11/12   ,2:12-cv-01125,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Catheter Connections et al v. Ivera Medical                                                                                                                                                                 ,Catheter Connections                                                      ,12/11/12   ,2:12-cv-01127,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Princeton Digital Image Corporation v. Activision Publishing Inc                                                                                                                                            ,Princeton Digital Image Corporation                                       ,2/9/12     ,2:12-cv-01134,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Carson Optical, Inc. v. Hawk Importers, Inc. et al                                                                                                                                                        ","Carson Optical, Inc.                                                    ",3/9/12     ,2:12-cv-01169,E.D.N.Y.   ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
Snap-On Inc v. Laurie                                                                                                                                                                                       ,Laurie                                                                    ,11/16/12   ,2:12-cv-01173,E.D. Wis.  ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,                                                                                                                                    
Etagz v. Premier Pet Products                                                                                                                                                                               ,Etagz                                                                     ,12/14/12   ,2:12-cv-01176,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"National Products, Inc v. SAS Group, Inc.                                                                                                                                                                 ","National Products, Inc                                                  ",7/13/12    ,2:12-cv-01213,W.D. Wash. ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Brandywine Communications Technologies v. Infowest                                                                                                                                                          ,Brandywine Communications Technologies                                    ,12/28/12   ,2:12-cv-01213,D. Utah    ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
Brandywine Communications Technologies v. Ikano Communications                                                                                                                                              ,Brandywine Communications Technologies                                    ,12/28/12   ,2:12-cv-01214,D. Utah    ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Toy Investments, Inc. v. Ja-Ru, Inc.                                                                                                                                                                      ","Toy Investments, Inc.                                                   ",7/13/12    ,2:12-cv-01216,W.D. Wash. ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Edizone v. Sunrise Medical Holdings et al                                                                                                                                                                   ,Edizone                                                                   ,12/31/12   ,2:12-cv-01218,D. Utah    ,6. Operating company                        ,                     ,                          ,4                   ,                                                                                                                                    
Edizone v. Blue Chip Medical Products                                                                                                                                                                       ,Edizone                                                                   ,12/31/12   ,2:12-cv-01219,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
ArrivalStar S A et al v. Meitek Inc et al                                                                                                                                                                   ,ArrivalStar S A                                                           ,2/10/12    ,2:12-cv-01225,C.D. Cal.  ,5. Patent holding company                   ,                     ,                          ,2                   ,                                                                                                                                    
"Airbus S.A.S. v. Aviation Partners, Inc.                                                                                                                                                                  ","Aviation Partners, Inc.                                                 ",7/16/12    ,2:12-cv-01228,W.D. Wash. ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"NAUTILUS NEUROSCIENCES, INC. et al v. WOCKHARDT USA LLC et al                                                                                                                                             ","NAUTILUS NEUROSCIENCES, INC.                                            ",2/27/12    ,2:12-cv-01243,D.N.J.     ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
Michael Murchison v. Veterinary Service Inc et al                                                                                                                                                           ,Michael Murchison                                                         ,2/14/12    ,2:12-cv-01291,C.D. Cal.  ,2. Individual/family trust                  ,1                    ,0                         ,2                   ,                                                                                                                                    
"Silver State Intellectual Technologies, Inc. v. FourSquare Labs, Inc.                                                                                                                                     ","Silver State Intellectual Technologies, Inc.                            ",7/25/12    ,2:12-cv-01308,D. Nev.    ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Automated Transactions LLC v. Cumberland Farms, Inc.                                                                                                                                                      ",Automated Transactions LLC                                                ,3/16/12    ,2:12-cv-01321,E.D.N.Y.   ,5. Patent holding company                   ,                     ,                          ,2                   ,                                                                                                                                    
"Murray v. Aoki, et. al.                                                                                                                                                                                   ",Murray                                                                    ,5/17/12    ,2:12-cv-01334,E.D. Cal.  ,2. Individual/family trust                  ,1                    ,0                         ,2                   ,                                                                                                                                    
Avocent Redmond Corp. v. Aten Technology Inc. et al                                                                                                                                                         ,Avocent Redmond Corp.                                                     ,8/7/12     ,2:12-cv-01341,W.D. Wash. ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Avocent Redmond Corp. v. Belkin International, Inc. et al                                                                                                                                                 ",Avocent Redmond Corp.                                                     ,8/7/12     ,2:12-cv-01342,W.D. Wash. ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
Isola USA Corporation v. Park Electrochemical Corporation et al                                                                                                                                             ,Isola USA Corporation                                                     ,6/25/12    ,2:12-cv-01359,D. Ariz.   ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
Isola USA Corporation v. Taiwan Union Technology Corporation                                                                                                                                                ,Isola USA Corporation                                                     ,6/25/12    ,2:12-cv-01361,D. Ariz.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
KONINKLIJKE PHILIPS ELECTRONICS N.V. et al v. ZOLL LIFECOR CORPORATION                                                                                                                                      ,KONINKLIJKE PHILIPS ELECTRONICS N.V.                                      ,9/21/12    ,2:12-cv-01369,W.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"CLEAR FOCUS IMAGING, INC., v. FLEX CON COMPANY, INC.,                                                                                                                                                     ","CLEAR FOCUS IMAGING, INC.,                                              ",8/16/12    ,2:12-cv-01372,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Mad Dogg Athletics Inc v. Body-Solid Inc                                                                                                                                                                    ,Mad Dogg Athletics Inc                                                    ,2/17/12    ,2:12-cv-01411,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Whitewater West Industries Ltd v. SplashTacular Inc                                                                                                                                                         ,Whitewater West Industries Ltd                                            ,2/17/12    ,2:12-cv-01423,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"DUCTMATE INDUSTRIES, INC. v. FAMOUS DISTRIBUTION, INC. et al                                                                                                                                              ","DUCTMATE INDUSTRIES, INC.                                               ",10/4/12    ,2:12-cv-01440,W.D. Pa.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
HIGH POINT SARL v. T-MOBILE USA INC.                                                                                                                                                                        ,HIGH POINT SARL                                                           ,3/8/12     ,2:12-cv-01453,D.N.J.     ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"AVANIR PHARMACEUTICALS, INC. et al v. WATSON PHARMACEUTICALS, INC. et al                                                                                                                                  ","AVANIR PHARMACEUTICALS, INC.                                            ",3/8/12     ,2:12-cv-01463,D.N.J.     ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
ThermoLife International LLC v. Hi-Tech Pharmaceuticals Incorporated                                                                                                                                        ,ThermoLife International LLC                                              ,7/6/12     ,2:12-cv-01466,D. Ariz.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Body Science LLC v. Polar Electro Inc.                                                                                                                                                                      ,Body Science LLC                                                          ,3/26/12    ,2:12-cv-01478,E.D.N.Y.   ,3. Large aggregator                         ,                     ,                          ,8                   ,                                                                                                                                    
Zecotek Imaging Systems Pte ltd et al v. Saint-Gobain Ceramics and Plastics Inc et al                                                                                                                       ,Zecotek Imaging Systems Pte ltd                                           ,2/23/12    ,2:12-cv-01521,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
"Pentair Water Pool and Spa, Inc. et al v. Hayward Industries, Inc. et al                                                                                                                                  ","Pentair Water Pool and Spa, Inc.                                        ",2/23/12    ,2:12-cv-01535,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"BMO HARRIS BANK NATIONAL ASSOCIATION v. MAXIM INTEGRATED PRODUCTS, INC.                                                                                                                                   ","MAXIM INTEGRATED PRODUCTS, INC.                                         ",10/24/12   ,2:12-cv-01538,W.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
ESCO Corporation et al v. Cashman Equipment Company et al                                                                                                                                                   ,ESCO Corporation                                                          ,8/29/12    ,2:12-cv-01545,D. Nev.    ,6. Operating company                        ,                     ,                          ,5                   ,                                                                                                                                    
"Zillow, Inc. v. Trulia, Inc.                                                                                                                                                                              ","Zillow, Inc.                                                            ",9/12/12    ,2:12-cv-01549,W.D. Wash. ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Ironclad Peformance Wear v. Marmon Group LLC et al                                                                                                                                                          ,Ironclad Peformance Wear                                                  ,2/23/12    ,2:12-cv-01558,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"DEUTSCHE BANK AG NEW YORK BRANCH v. MAXIM INTEGRATED PRODUCTS, INC.                                                                                                                                       ","MAXIM INTEGRATED PRODUCTS, INC.                                         ",11/5/12    ,2:12-cv-01604,W.D. Pa.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Everymd v. Rick Santorum et al                                                                                                                                                                              ,Everymd                                                                   ,2/27/12    ,2:12-cv-01623,C.D. Cal.  ,6. Operating company                        ,                     ,                          ,10                  ,                                                                                                                                    
