Case Name                                                                                                                                                                                                   ,Patentee                                                                  ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,                                                                                                                                    
"Starkey Laboratories, Inc. v. Acacia Research Corporation et al                                                                                                                                           ",Acacia Research Corporation                                               ,7/25/12    ,0:12-cv-01820,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Minnesota Diversified Industries, Inc. v. Technology Container Corp.                                                                                                                                      ",Technology Container Corp.                                                ,8/2/12     ,0:12-cv-01904,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Ecolab USA Inc. et al v. Diversey, Inc.                                                                                                                                                                   ",Ecolab USA Inc.                                                           ,8/14/12    ,0:12-cv-01984,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Carlson v. Birki, LP                                                                                                                                                                                      ",Carlson                                                                   ,8/28/12    ,0:12-cv-02121,D. Minn.   ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,                                                                                                                                    
Wohlstrom v. Wilmore et al                                                                                                                                                                                  ,Wohlstrom                                                                 ,8/15/12    ,0:12-cv-02338,D.S.C.     ,2. Individual/family trust                  ,1                    ,0                         ,4                   ,                                                                                                                                    
"Medafor, Inc. et al v. Hemostasis, LLC                                                                                                                                                                    ","Medafor, Inc.                                                           ",9/18/12    ,0:12-cv-02407,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"HVAC Modulation Technologies, LLC v. Lennox Industries, Inc.                                                                                                                                              ","HVAC Modulation Technologies, LLC                                       ",10/3/12    ,0:12-cv-02529,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"HVAC Modulation Technologies, LLC v. Trane US, Inc.                                                                                                                                                       ","HVAC Modulation Technologies, LLC                                       ",10/3/12    ,0:12-cv-02530,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"HVAC Modulation Technologies, LLC v. Nordyne LLC                                                                                                                                                          ","HVAC Modulation Technologies, LLC                                       ",10/3/12    ,0:12-cv-02531,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"HVAC Modulation Technologies, LLC v. Goodman Global, Inc.                                                                                                                                                 ","HVAC Modulation Technologies, LLC                                       ",10/3/12    ,0:12-cv-02532,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"HVAC Modulation Technologies, LLC v. Carrier Corporation                                                                                                                                                  ","HVAC Modulation Technologies, LLC                                       ",10/3/12    ,0:12-cv-02533,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
Arctic Cat Inc. v. Bombardier Recreational Products Inc. et al                                                                                                                                              ,Arctic Cat Inc.                                                           ,10/19/12   ,0:12-cv-02692,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Bombardier Recreational Products, Inc et al v. Arctic Cat, Inc et al                                                                                                                                      ","Bombardier Recreational Products, Inc                                   ",10/24/12   ,0:12-cv-02706,D. Minn.   ,6. Operating company                        ,                     ,                          ,3                   ,                                                                                                                                    
"Dane Technologies, Inc. v. Gatekeeper Systems, Inc.                                                                                                                                                       ","Dane Technologies, Inc.                                                 ",10/25/12   ,0:12-cv-02730,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Candella, LLC v. Liown Electronics Co. Ltd. et al                                                                                                                                                         ","Candella, LLC                                                           ",11/2/12    ,0:12-cv-02803,D. Minn.   ,6. Operating company                        ,                     ,                          ,10                  ,                                                                                                                                    
"WhatRU Holding, LLC v. Tentandtable.com, LLC et al                                                                                                                                                        ","WhatRU Holding, LLC                                                     ",11/6/12    ,0:12-cv-02820,D. Minn.   ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Signus Medical, LLC v. Ilion Medical, LLC                                                                                                                                                                 ","Signus Medical, LLC                                                     ",11/19/12   ,0:12-cv-02916,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"3Form, Inc., et al v. Meixner Group, LLC                                                                                                                                                                  ","3Form, Inc.,                                                            ",11/20/12   ,0:12-cv-02926,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Body Science LLC v. St. Jude Medical, Inc.                                                                                                                                                                ",Body Science LLC                                                          ,11/27/12   ,0:12-cv-02972,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
Gibson v. Express Brake International et al                                                                                                                                                                 ,Gibson                                                                    ,12/7/12    ,0:12-cv-03068,D. Minn.   ,2. Individual/family trust                  ,1                    ,0                         ,3                   ,                                                                                                                                    
"Brandywine Communications Technologies, LLC v. HickoryTech Corporation                                                                                                                                    ","Brandywine Communications Technologies, LLC                             ",12/26/12   ,0:12-cv-03187,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Brandywine Communications Technologies, LLC v. Honeycomb Internet Services, LLC d/b/a Winternet                                                                                                           ","Brandywine Communications Technologies, LLC                             ",12/26/12   ,0:12-cv-03188,D. Minn.   ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
